Sl.no,U-DISE School Code,School Name
267,11020602101,CHUMANG PS
268,11020602201,MIDDLE CHONGRANG JHS
269,11020602301,SINGLITAM PS
270,11020602401,SIMCHEN PS
271,11020602501,TOPUNG PS
272,11020602601,TATHANG PS
273,11020602701,PEWTHANG PS
274,11020602801,NERDANG PS
275,11020602901,THANGCHUNG PS
276,11020603001,MANGSABONG PS
277,11020603101,NESSA ARITHANG PS
278,11020603201,LETHANG PS
279,11020603301,NAMBU TARENG PS
280,11020603401,UPPER MANGNAM PS
281,11020603601,MANGTABONG PS
282,11020603701,THINGLING - II PS
283,11020603801,CHOJO PS
284,11020603901,DHUPPIDARA PS
285,11020604001,LOWER MANGNAM PS
286,11020604101,L CHONGRANG JHS
287,11020604301,MIDDLE POKHARI PS
288,11020604401,TSONG PS
289,11020700101,BERMIOK MARTAM SS
290,11020700201,YANGSUM SS
291,11020700301,CHINGTHANG JHS
292,11020700401,LOWER BERMIOK JHS
293,11020700501,CENTRAL MARTAM JHS
294,11020700601,NAJOR BERFOK JHS
295,11020700701,HEE PATAL JHS
296,11020700801,BERMIOK DARAGOAN JHS
297,11020700901,MEYYONG PS
298,11020701001,SAGBARI PS
299,11020701101,PECHREAK PS
300,11020701201,UPPER MARTAM PS
301,11020701301,CHEWRIBOTEY PS
302,11020701401,HEE MAJHGOAN PS
303,11020701501,RUNGDU PS
304,11030101105,SYAMDAS PS
305,11030102501,NANGDANG PS
306,11030102601,CHIYADARA PS
307,11030102705,KAMRANG SS
308,11030102801,KITCHUDUMRA PS
309,11030103001,MAMLEY JHS
310,11030103101,TINGRITHANG JHS
311,11030103201,CHAMGOAN PS
312,11030103301,PABONG SS
313,11030104003,RONG SS
314,11030104704,ASSANGTHANG JHS
315,11030104803,PURANO NAMCHI PS
316,11030105002,LOWER ASSANGTHANG PS
317,11030106201,SALLEYBONG JHS
318,11030106302,LOWER SINGTAM PS
319,11030106403,SINGTAM PALLUM PS
320,11030106404,PALLUM PS
321,11030106502,BULL PS
322,11030108601,UPPER JAWBARI JHS
323,11030108701,DAMTHANG SS
324,11030108801,CHEMCHEY JHS
325,11030108901,PAKCHEY PS
326,11030109001,JAWBARI PS
327,11030109101,MANIRAM SS
328,11030109201,PHALIDARA JHS
329,11030109301,BHANJYANG PS
330,11030109401,ALLEYDARA JHS
331,11030109702,PAKJER PS
332,11030110402,KITAM SSS
333,11030110502,SOROK MANPUR PS
334,11030110602,GOAM JHS
335,11030110702,LOWER GOAM PS
336,11030110802,LOWE KITAM PS
337,11030110901,NAMCHI SSS
338,11030111001,NAMCHI GIRLS SSS
339,11030111101,NAMCHI NEW SS
340,11030111201,TINZIR JHS
341,11030111301,MICKKHOLA JHS
342,11030111302,LOWER MICKHOLA PS
343,11030111401,SINGITHANG PS
344,11030111501,BOOMTAR PS
345,11030111601,KOPCHEY PS
346,11030111701,GUMPA GHURPISAY JHS
347,11030117302,GURUNG GAON JHS
348,11030118601,COMPOUND PS
349,11030119001,MAZITAR JHS
350,11030201401,LOWER BORRONG PS
351,11030201501,MAYPONG PS
352,11030201601,SADA PS
353,11030201701,BORRONG SS
354,11030201702,BORONG SUNTALAY PS
355,11030201901,PHAMTAM JHS
356,11030201902,PHAMTAM MAKERJONG PS
357,11030202101,PAKSOM JHS
358,11030204002,MANGERDALAM PS
359,11030204101,LINGDING PS
360,11030204201,RALONG LUNGSING PS
361,11030204301,NAMLUNG JHS
362,11030204401,RALONG SS
363,11030204501,JARRONG SS
364,11030204701,BARFUNG PS
365,11030204801,LOWER JARRONG PS
366,11030204901,ANITHANG PS
367,11030205001,KEWZING SSS
368,11030205002,KEWZING TEA GARDEN PS
369,11030205201,DALEP KEWZING JHS
370,11030205301,LEGSHIP HINGDAM JHS
371,11030205302,LEGSHIP DHARGAON PS
372,11030205501,BAKKHIM PS
373,11030205601,LINGZOO PS
374,11030206001,MIDDLE RAYOUNG PS
375,11030206302,LOWER TARNIM PS
376,11030206303,TARNIM PS
377,11030206501,CHITTRAY PS
378,11030206701,RANKEY PS
379,11030206801,SANGMOO SS
380,11030206901,VCGL RAVANGLA SSS
381,11030207001,DOJAK JHS
382,11030207101,LOWER RAYONG JHS
383,11030207201,DEYTHANG JHS
384,11030208601,GANGLA PS
385,11030208701,UPPER RAYOUNG PS
386,11030300101,BERMIOK DARING PS
387,11030300201,PABONG DARING SS
388,11030300301,BERMIOK PASSI PS
389,11030300401,THANGSING JHS
390,11030300501,CHALLAMTHANG JHS
391,11030300502,REKAPE PS
392,11030300601,BERMIOK TOKAL SSS
393,11030300701,NAMPHING SS
394,11030300801,AMALAY PS
395,11030300901,BERMIOK DELEP PS
396,11030301002,AAP GACHI PIPAL BOTEY PS
397,11030301101,LOWER NAMPHING PS
398,11030301201,LOWER CHALLAMTHANG JHS
399,11030301301,TARKU SS
400,11030301401,KAMERGOAN PS
401,11030301402,LOWER TARKU JHS
402,11030301501,LOWER TARKU GAIRIGOAN PS
403,11030301601,LOWER TANAK PS
404,11030301701,DEO DENTAM PS
405,11030301801,TEMI SSS
406,11030301901,AIFALTAR PS
407,11030302001,UPPER TANAK PS
408,11030302101,GENCHUNG PS
409,11030302201,TIMI TEAGARDEN JHS
410,11030302501,BEN SS
411,11030302502,BEN KATUJA PS
412,11030302503,BEN ROLOK PS
413,11030302601,SIMKHARKA PS
414,11030302701,BEN NAMPHRIK PS
415,11030302801,BEN PEKU PS
416,11030302901,BEN KABEY JHS
417,11030303001,MANGLEY SINCHUTHANG JHS
418,11030400101,HARRABOTEY PS
419,11030400201,DONG AMBOTEY JHS
420,11030400301,DENCHUNG JHS
421,11030400401,JORETHANG SSS
422,11030400601,TIMBURAY PS
423,11030400701,BHAISALGAON PS
424,11030400702,SALGHARI SS
425,11030400801,NANDU GOAN SSS
426,11030400901,TINIK CHISOPANI JHS
427,11030401102,NANDUGAON SUNTALAY PS
428,11030401801,LOWER NANDUGAON PS
429,11030401901,BORBOTAY PS
430,11030402101,DHARGOAN PS
431,11030500101,VOK SS
432,11030500201,CHUMLOK JHS
433,11030500401,GUMPA DARA PS
434,11030500501,C.M.RAI OMCHU SS
435,11030500601,TINGMOO SS
436,11030500701,LAMATEN PS
437,11030500801,TINGMOO BIRING PS
438,11030500901,MANGBRUE PS
439,11030501001,SUBUK PS
440,11030501101,LINGYOUNG JHS
441,11030501201,SANGANATH SS
442,11030501203,ROCKLAND LPS
443,11030600101,CHUBA SS
444,11030600201,BANSBOTEY PS
445,11030600301,PHONG SS
446,11030600401,TANGZI PS
447,11030600501,PASSI JHS
448,11030600601,RATEYPANI SSS
449,11030600701,KAREK JOGIDARA PS
450,11030600703,RUBDI TORIBARI PS
451,11030600801,TANGEY BARBOTEY PS
452,11030600901,KAIJALEY JHS
453,11030601001,KABREY SS
454,11030601004,BURUL SS
455,11030601101,TURUNG SS
456,11030601201,TEK PS
457,11030601301,PAMPHOK JHS
458,11030601401,MAMRING JHS
459,11030601501,DONAK PS
460,11030601601,SUBINKHORE PS
461,11030601701,JHOLUNGEY PS
462,11030601801,KETENG MAKERJONG PS
463,11030601901,BHALUKHOP PS
464,11030602001,NAMTHANG SSS
465,11030602101,KATENG SS
466,11030602102,NIZ RAMENG PS
467,11030602201,NAGI POLITAM PS
468,11030602301,RUCHUNG PS
469,11030602401,POLITAM PS
470,11030602501,PERBINGKHOP PS
471,11030602601,TINGLEY SS
472,11030602801,PERBING SSS
473,11030602803,LOWER PERBING JHS
474,11030602805,DONG PS
475,11030602901,RABIKHOLA PS
476,11030603001,BIKMAT SS
477,11030603201,KHAYARBOTAY PS
478,11030700101,YANGANG SSS
479,11030700201,KARUNGTHANG JHS
480,11030700301,PATHING JHS
481,11030700401,UPPER YANGANG JHS
482,11030700501,UPPER SATAM PS
483,11030700601,SOKEY JHS
484,11030700701,SAMRUK JHS
485,11030700801,RANGANG PS
486,11030700902,SRIPATAM JHS
487,11030701001,MAJUWA PS
488,11030701101,NAMPHOK SS
489,11030701102,KATENG DHINGTAR PS
490,11030701201,MENGLEE JHS
491,11030701301,TOKDAY JHS
492,11030701401,UPPER LINGMOO JHS
493,11030701501,LINGMOO PEPTHANG PS
494,11030701602,LINGMOO SSS
495,11030701701,NEH BROOM SS
496,11030701702,LOWER BROOM PS
497,11030701801,MANGZING JHS
