Sl.no,School Code,School Name
187,11030400302,HEBRON ACADEMY
188,11030400404,VISION ACADEMY
189,11030108702,ST THOMAS SCHOOL
190,11030102703,AROMA ACADEMY
191,11030102704,GRACE ACADEMY
192,11030103302,RANGUTHANG HEDH-ZI-BAH
193,11030102702,TENDER BUDS PRIVATE SCHOOL
194,11030114802,BETHANY EDUCATIONAL INSTITUTIO
195,11030116203,FUTURE BRIGHTER ACADEMY
196,11030110403,ST MARY'S SCHOOL
197,11030109102,MODERN ACADEMY
198,11030117201,ST.TERESA'S SCHOOL
199,11030110902,BETHAL ACADEMY
200,11030113604,BETHANY SCHOOL
201,11030104705,DEFFODIL'S ACADEMY
202,11030116401,EBENEZER ACADEMY
203,11030104706,ENLIGHTEN EDU.INST.
204,11030114602,EVERSHINE ACADEMY
205,11030113605,GREENFINCH SCHOOL
206,11030113606,J M K MEMORIAL SCHOOL
207,11030111402,KINCHIN CASTLE ACADEMY
208,11030111502,LORD JESUS SCHOOL
209,11030116402,MANJUSHREE ACADEMY
210,11030113601,MOUNT CARMEL
211,11030113602,NAMCHI PUBLIC SCHOOL
212,11030113502,NEW LIGHT ACADEMY
213,11030113501,NEW LIGHT ACADEMY
214,11030119201,PARAMOUNT ACADEMY
215,11030111403,SEVEN HILLS SCHOOL
216,11030113202,SHALOM ACADEMY
217,11030111104,SOUTHERN LIGHTS ACADEMY
218,11030103304,ST.TERESA'S SCHOOL
219,11030113603,SUNSHINE ACADEMY
220,11030113301,TENDONG EDUCATIONAL INSTITUTE
221,11030113201,TINY TOTS PS
222,11030603003,HOSSANA ENGLISH SCHOOL
223,11030602802,LITTLE ANGEL ACADEMY
224,11030600502,LITTLE BUD
225,11030603002,MOTHER TERESA MEMORIAL
226,11030600603,MOTHER TERESA MEMORIAL SCHOOL
227,11030600605,SHINING STAR ACADEMY
228,11030602806,TINY BUDS ACADEMY
229,11030601002,HIMALAYAN SARASWATI VIDYALAYA
230,11030600102,NEW STEPS ACADEMY
231,11030601005,PRATIVA ACADEMY ENGLISH SCHOOL
232,11030602103,AGAM SINGH ACADEMY
233,11030602002,GREEN FIELD JUNIOR HIGH SCHOOL
234,11030601003,GYAN PRADAN ACADEMY
235,11030601402,IVANA MEMORIAL SCHOOL
236,11030600604,SOUTH POINT ACADEMY
237,11030603301,ST PAUL SCHOOL
238,11030601104,ST.LUTHER ENGLISH BOARDING SCHOOL
239,11030601103,ST.XAVIERS SCHOOL
240,11030602003,WISDOM VALLEY ACADEMY
241,11030600303,FUTURE STAR ACADEMY
242,11030601102,SHUBHASAI INSTITUTE OF ELEMENTARY EDUCATION
243,11030201703,SANGAM ACADEMY
244,11030204702,DEMAZONG ENGLISH ACADEMY
245,11030207202,NEW RAYS ACADEMY
246,11030205003,HOLY FAITH ENGLISH SCHOOL
